"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50","sp51","sp52","sp53","sp54","sp55","sp56","sp57","sp58","sp59","sp60","sp61","sp62","sp63","sp64","sp65","sp66","sp67","sp68","sp69","sp70","sp71","sp72","sp73","sp74","sp75","sp76","sp77","sp78","sp79","sp80","sp81","sp82","sp83","sp84","sp85","sp86","sp87","sp88","sp89","sp90","sp91","sp92","sp93","sp94","sp95","sp96","sp97","sp98","sp99","sp100"
"Sbj1_Time2",2,1,13,55,13,26,17,8,46,11,25,24,31,34,14,67,51,34,11,10,6,14,22,29,24,52,10,29,48,30,26,17,28,50,53,14,43,18,13,13,15,40,28,19,80,18,13,52,54,18,22,17,16,40,52,14,35,27,54,41,63,16,11,14,46,42,28,29,23,36,34,18,31,17,31,18,15,14,32,5,74,6,20,16,9,39,17,15,39,30,17,11,13,63,14,50,16,14,14,15,17,46
"Sbj10_Time2",2,10,18,23,27,31,9,37,15,18,38,12,14,21,29,17,17,17,9,32,8,26,9,40,10,14,29,47,14,41,22,25,35,12,19,27,12,11,24,27,30,23,35,40,11,22,19,16,19,20,27,42,18,33,37,15,35,25,33,11,25,42,19,15,15,12,16,16,26,22,35,24,37,34,13,27,22,15,16,5,38,14,37,39,31,34,17,17,18,8,25,32,26,18,19,12,35,20,12,34,29,7
"Sbj100_Time2",2,100,18,22,30,22,16,18,29,33,10,36,11,42,29,16,18,19,16,12,29,24,18,53,6,21,14,13,14,8,44,29,23,46,15,32,19,19,21,25,36,13,15,33,11,17,13,13,13,17,17,15,24,40,9,15,16,17,13,29,35,24,15,25,15,17,45,12,40,16,28,17,10,15,29,16,19,15,10,18,38,27,19,43,25,23,8,15,28,38,34,17,25,24,23,13,13,17,25,30,17,19
"Sbj11_Time2",2,11,23,37,13,18,51,14,9,20,9,33,16,38,9,25,18,45,24,18,18,11,22,54,22,4,33,32,16,48,15,34,24,39,24,18,37,7,15,15,23,14,9,36,16,21,10,23,46,33,46,36,21,54,15,24,26,48,20,15,8,16,23,47,33,29,17,39,12,12,65,25,36,28,30,25,32,37,39,14,14,34,14,32,22,17,20,14,25,31,29,35,15,25,26,53,22,44,44,14,23,24
"Sbj12_Time2",2,12,12,20,49,80,76,32,42,38,56,41,20,19,13,17,41,114,26,10,45,8,9,15,59,66,17,32,55,27,29,44,45,9,10,11,25,69,31,12,60,34,36,50,23,28,16,25,14,25,48,25,21,26,75,43,30,84,16,36,14,48,14,15,52,20,7,41,81,45,14,54,13,43,33,12,70,51,27,20,21,10,52,88,103,42,70,43,9,18,15,15,33,18,36,16,25,11,52,14,9,39
"Sbj13_Time2",2,13,35,14,20,28,29,11,10,19,24,13,19,19,15,31,13,16,16,14,26,25,27,23,15,13,15,14,25,39,21,28,30,17,12,16,22,21,26,12,22,16,9,17,14,20,38,25,26,13,28,8,51,15,5,19,15,32,10,12,25,11,14,12,22,20,19,30,16,29,37,22,19,32,19,20,32,30,5,11,35,17,16,44,14,10,12,29,21,25,30,23,10,14,24,8,23,37,23,40,24,15
"Sbj14_Time2",2,14,33,14,17,54,34,15,16,27,11,16,21,53,7,27,41,17,58,33,18,26,33,17,16,18,50,26,16,13,16,35,51,59,14,32,15,23,28,14,36,15,16,16,18,21,30,24,46,12,23,22,43,16,14,30,8,42,16,44,16,12,18,19,20,29,12,12,52,38,26,23,34,26,36,25,42,50,14,28,15,47,18,14,34,21,14,42,23,51,51,34,25,29,18,13,24,26,11,42,40,45
"Sbj15_Time2",2,15,54,12,61,42,54,13,16,60,50,43,13,82,53,14,19,13,15,56,57,70,61,11,17,13,32,36,16,11,8,48,63,25,62,63,10,7,56,13,74,61,21,40,12,15,31,14,75,19,13,62,20,50,27,48,18,19,14,14,19,28,11,10,16,71,58,20,8,18,44,52,15,48,17,49,13,12,17,15,36,36,66,39,64,76,28,28,9,27,10,17,34,49,47,22,32,10,11,31,54,68
"Sbj16_Time2",2,16,4,22,52,45,28,29,54,30,12,18,13,66,19,16,25,18,39,12,35,46,31,18,46,42,21,15,15,12,36,18,28,46,12,11,10,18,16,16,48,17,57,47,14,26,38,79,10,18,41,42,22,15,19,38,16,13,21,20,28,21,55,29,35,12,41,53,12,21,11,38,23,34,20,36,22,18,11,13,25,12,31,16,11,15,23,20,58,45,9,34,15,25,56,13,42,15,16,15,34,15
"Sbj17_Time2",2,17,34,26,13,24,27,12,18,13,17,14,11,11,41,16,12,13,42,12,16,15,32,17,20,18,25,17,37,17,9,14,20,18,10,27,17,40,22,24,26,21,24,25,22,34,17,30,22,16,13,20,13,24,15,15,31,28,21,32,47,32,28,17,27,22,14,29,17,21,13,18,27,12,11,28,10,12,23,20,26,30,20,16,36,26,20,16,16,34,24,35,23,21,12,8,20,20,22,22,13,15
"Sbj18_Time2",2,18,34,17,24,34,11,106,10,31,12,87,49,29,33,42,6,16,55,25,15,31,17,11,16,57,11,10,10,15,19,29,17,18,17,31,33,22,51,12,24,33,90,14,15,34,17,39,39,15,14,34,79,13,21,35,12,23,55,38,23,42,9,34,23,42,11,59,10,17,26,54,17,22,10,50,36,29,13,71,15,4,55,58,43,42,80,30,12,8,74,13,13,13,28,55,46,51,15,34,18,25
"Sbj19_Time2",2,19,64,13,34,19,17,55,21,13,11,41,13,18,35,14,24,21,24,15,25,37,47,34,12,10,26,35,15,16,19,17,15,8,46,17,37,16,22,17,22,10,15,28,23,54,15,24,28,62,44,38,15,19,27,32,45,39,16,38,12,17,40,13,15,27,19,21,11,32,48,21,33,15,12,24,16,7,43,20,66,28,13,30,31,25,34,22,9,53,18,12,12,18,16,15,13,51,36,39,14,7
"Sbj2_Time2",2,2,25,16,20,9,11,27,35,23,35,17,7,28,28,46,37,29,7,35,24,16,14,26,30,40,11,12,15,16,40,12,22,6,18,14,45,27,13,37,34,13,29,10,12,21,12,34,19,19,34,18,17,9,17,30,34,19,15,25,21,41,17,21,15,22,25,20,17,13,17,25,12,19,32,17,17,17,29,35,11,23,15,24,12,53,13,48,20,24,19,20,19,19,35,21,11,19,20,19,15,14
"Sbj20_Time2",2,20,18,13,14,18,41,21,41,45,48,32,15,13,17,28,44,6,13,23,15,32,24,34,48,33,17,16,21,40,16,26,27,11,13,25,13,13,14,15,9,19,32,33,15,17,14,13,56,17,34,15,20,23,8,13,17,17,25,17,18,17,18,19,26,13,13,16,18,49,12,13,36,35,20,17,38,14,31,21,39,43,34,29,33,38,22,42,24,18,45,13,26,27,25,44,19,29,22,35,11,35
"Sbj21_Time2",2,21,84,14,35,67,12,19,33,10,54,64,66,10,30,9,14,43,49,66,13,11,19,15,59,19,19,38,139,59,14,24,17,49,16,24,23,17,42,59,82,80,9,34,14,15,16,30,14,96,23,38,27,36,12,14,44,25,15,19,55,19,17,71,45,13,60,12,53,17,26,11,87,13,70,10,32,13,25,21,71,31,34,20,10,9,25,75,89,23,14,15,47,9,54,57,11,15,31,17,83,96
"Sbj22_Time2",2,22,18,28,18,27,61,58,13,44,13,25,18,13,43,20,37,34,34,19,13,35,17,52,14,22,14,21,48,16,10,42,34,16,14,25,37,24,16,24,23,32,15,50,15,10,12,33,20,16,40,24,30,22,45,31,14,16,33,12,29,16,13,19,16,48,34,16,20,19,21,46,16,28,62,60,35,11,22,35,27,9,51,56,8,41,38,23,64,63,12,30,15,16,56,10,26,30,15,16,57,13
"Sbj23_Time2",2,23,12,10,18,14,15,46,29,8,20,14,30,17,29,12,12,45,42,23,8,34,48,11,12,31,14,29,17,21,19,12,13,16,17,25,25,13,17,14,17,16,13,33,23,15,16,42,19,38,14,20,31,20,13,25,21,41,14,29,28,23,5,19,16,25,27,14,13,19,11,17,30,14,16,34,22,23,10,25,19,20,16,17,25,27,14,27,20,23,14,34,25,14,19,18,16,23,17,30,42,38
"Sbj24_Time2",2,24,15,15,22,68,34,12,34,49,24,55,47,13,41,43,49,46,25,11,25,9,14,15,56,72,20,60,10,7,22,15,25,15,41,11,18,46,39,64,49,26,28,54,54,24,36,11,26,15,49,9,28,15,45,9,15,14,17,14,47,23,29,13,18,13,36,13,12,60,38,24,10,17,44,64,34,27,20,14,34,20,14,62,40,30,14,69,44,20,28,26,39,13,15,26,16,44,31,23,7,17
"Sbj25_Time2",2,25,15,21,14,12,28,29,27,25,38,14,10,14,15,16,17,28,40,33,27,32,18,30,30,17,24,31,29,16,24,13,33,19,12,19,20,18,8,15,11,19,15,37,15,30,18,16,14,19,26,30,19,21,38,11,20,18,32,36,32,33,43,47,13,16,14,44,38,15,22,14,29,29,28,38,36,22,38,15,14,25,19,14,10,8,29,10,36,40,39,16,12,31,34,40,19,35,49,29,36,19
"Sbj26_Time2",2,26,25,15,29,21,50,48,19,22,45,12,42,42,24,46,36,18,19,21,25,46,26,13,38,34,38,16,14,14,36,19,36,47,12,11,14,28,17,11,45,10,18,16,18,29,15,42,41,55,7,34,16,57,34,6,12,34,21,16,17,15,29,69,23,18,18,13,11,43,12,42,25,19,24,26,17,20,14,34,15,29,12,29,20,34,26,46,13,13,19,58,45,15,29,9,16,19,11,28,45,57
"Sbj27_Time2",2,27,57,10,33,8,75,15,29,30,52,34,12,17,14,51,15,49,15,8,14,47,26,18,11,43,12,11,22,15,21,9,42,11,15,20,14,13,7,14,36,41,15,23,24,35,8,29,57,32,16,14,22,12,25,12,12,40,11,49,11,8,37,34,12,11,23,57,37,23,15,14,10,16,18,9,13,56,52,11,29,55,36,6,40,30,13,46,43,20,24,44,33,25,40,46,16,29,29,18,26,7
"Sbj28_Time2",2,28,23,38,12,20,25,10,18,21,18,17,28,10,43,15,38,23,13,48,25,41,18,18,9,61,13,26,15,37,15,11,14,26,37,32,16,32,39,16,27,21,17,27,13,16,10,31,13,23,33,54,45,16,54,10,46,15,19,27,21,42,14,38,26,15,13,10,21,46,16,13,30,55,8,10,13,14,13,23,26,27,19,23,14,51,16,53,15,40,10,18,20,14,17,34,20,10,15,14,23,20
"Sbj29_Time2",2,29,24,31,29,24,18,22,16,16,20,15,12,23,17,20,23,15,15,31,18,18,33,17,26,21,16,14,12,22,19,18,13,20,20,24,26,10,15,18,15,16,33,25,21,21,11,17,19,26,33,14,24,21,22,15,27,24,24,15,24,19,14,36,17,15,22,29,14,23,18,24,26,11,34,7,39,13,24,22,30,21,14,15,19,27,38,20,19,13,41,25,22,12,9,24,25,14,22,22,12,15
"Sbj3_Time2",2,3,28,37,39,21,11,9,13,36,12,37,14,22,46,18,15,38,20,18,13,18,36,29,55,16,20,23,9,25,47,9,35,34,34,14,16,17,12,13,10,33,22,21,18,31,11,25,32,15,19,23,42,17,38,31,15,40,31,30,23,19,14,12,35,37,7,17,17,27,8,20,33,31,12,11,41,21,14,24,22,29,19,8,24,15,25,14,20,21,28,19,38,24,11,34,24,25,32,35,31,20
"Sbj30_Time2",2,30,17,8,30,59,27,42,11,26,24,20,32,22,34,14,46,14,26,12,34,43,33,45,21,32,50,34,16,18,10,12,20,29,36,16,23,9,16,40,54,18,17,16,14,34,32,32,17,22,29,12,19,18,22,13,31,16,14,21,37,39,14,24,49,12,58,42,18,20,14,37,21,36,8,14,15,19,15,21,33,15,47,36,16,47,46,35,40,25,28,55,17,21,15,37,16,11,11,24,19,13
"Sbj31_Time2",2,31,12,21,22,14,13,12,14,22,16,12,37,12,18,20,23,37,20,17,20,22,39,7,16,30,13,20,18,32,33,37,16,30,18,16,22,16,36,38,11,12,40,31,33,36,25,38,11,15,17,33,31,12,40,26,18,11,15,24,15,14,43,36,49,10,16,8,25,8,21,28,37,30,14,27,32,26,10,16,38,11,9,12,26,12,16,44,17,11,13,24,32,14,32,17,15,15,11,28,12,24
"Sbj32_Time2",2,32,36,45,19,51,14,74,42,6,13,53,22,29,21,34,14,17,47,21,44,16,21,14,24,14,7,66,47,60,19,18,50,24,37,33,14,7,32,14,29,18,18,9,60,54,17,10,31,28,44,16,17,14,23,47,12,9,27,32,57,15,31,34,9,26,39,73,26,46,11,12,15,40,17,15,26,20,39,35,13,14,23,9,17,9,20,41,13,13,10,22,22,11,15,17,21,13,20,54,28,18
"Sbj33_Time2",2,33,24,18,38,34,12,14,53,33,13,21,40,14,11,22,13,40,18,13,73,35,29,12,14,14,36,30,40,14,26,31,32,50,22,12,11,25,15,23,30,27,30,19,17,20,9,27,18,32,51,26,52,21,13,62,13,29,13,11,10,29,18,39,35,17,12,22,59,15,24,26,36,33,16,24,15,29,63,16,15,19,15,47,16,31,51,25,21,33,25,30,28,13,16,19,16,15,17,68,33,12
"Sbj34_Time2",2,34,17,14,13,14,19,18,58,18,18,20,23,13,33,12,15,21,12,46,16,12,51,12,21,65,17,24,34,14,25,31,20,34,20,25,19,17,56,19,21,16,32,22,17,18,28,32,17,31,37,20,18,16,31,21,38,40,14,43,42,40,16,26,15,24,27,24,15,18,14,12,20,33,11,37,19,32,25,18,22,17,25,30,13,17,27,45,15,14,19,27,34,9,49,10,24,14,47,34,10,26
"Sbj35_Time2",2,35,11,18,23,28,12,41,39,31,33,49,14,17,24,22,35,13,29,20,32,33,36,27,13,15,8,11,23,34,13,34,49,14,12,31,33,22,27,33,35,15,19,26,35,11,33,28,10,13,20,34,9,29,35,14,31,11,11,18,14,23,22,35,27,20,33,17,21,25,17,17,27,46,45,12,33,11,16,19,18,14,34,13,44,17,25,16,19,30,22,11,23,24,51,22,17,31,22,16,14,7
"Sbj36_Time2",2,36,37,21,18,11,18,26,20,15,8,8,18,15,31,45,40,34,16,15,45,21,46,33,27,15,43,43,21,55,27,13,36,43,24,11,15,11,29,15,15,13,6,15,17,31,27,13,13,22,12,12,21,34,17,24,24,60,20,16,13,41,44,43,5,11,12,41,33,25,43,14,20,33,14,20,17,64,19,17,35,10,24,16,21,34,15,31,35,18,23,23,14,41,17,15,21,23,58,30,12,13
"Sbj37_Time2",2,37,17,17,20,20,34,23,23,25,16,15,18,35,30,14,12,23,30,22,13,18,9,15,22,23,23,18,22,15,31,18,13,19,27,0,13,15,25,15,40,11,8,22,14,28,18,32,13,14,8,24,13,17,40,26,36,15,40,12,25,30,21,21,30,32,15,23,42,16,36,20,18,10,27,16,16,24,16,16,22,18,11,27,22,13,13,28,18,20,20,21,16,12,17,5,11,27,29,19,11,19
"Sbj38_Time2",2,38,26,30,9,19,15,16,15,34,25,13,43,24,31,38,13,39,28,15,16,35,9,8,42,42,16,15,13,10,9,10,35,30,37,11,50,24,11,23,40,32,12,9,35,35,16,24,13,28,52,13,28,11,61,30,33,20,20,17,18,51,26,10,15,23,12,52,40,23,14,28,19,14,25,18,30,18,37,31,32,16,55,19,22,17,13,44,14,15,16,16,40,13,15,14,19,28,20,45,19,17
"Sbj39_Time2",2,39,18,10,15,62,17,39,45,25,16,10,27,43,27,55,32,32,42,11,19,46,39,15,48,15,50,70,23,56,14,15,12,16,15,14,15,14,14,41,10,13,7,17,29,34,37,18,59,17,39,16,11,24,37,44,36,12,70,39,34,53,18,50,38,25,31,27,14,15,16,31,12,23,48,18,28,43,22,24,30,20,10,8,8,13,20,45,54,58,26,18,9,7,9,23,20,48,14,44,37,24
"Sbj4_Time2",2,4,30,35,16,23,55,21,10,17,9,15,36,43,59,24,27,40,12,24,9,33,50,45,14,39,97,12,39,23,35,53,7,20,16,30,48,20,11,14,36,40,71,18,22,10,17,28,20,45,17,15,35,14,59,45,55,42,16,27,24,19,18,15,16,56,17,12,41,49,44,12,46,46,15,11,33,41,39,16,40,14,47,17,18,43,16,26,28,19,39,13,56,38,19,60,60,26,16,22,15,53
"Sbj40_Time2",2,40,49,32,12,26,28,19,34,16,23,16,13,13,34,28,14,12,16,43,25,12,13,15,11,34,38,38,49,24,28,24,16,36,36,13,12,9,26,43,27,29,17,28,27,21,29,16,15,13,15,36,38,11,12,35,13,24,15,9,17,31,42,58,34,37,16,31,37,33,38,24,48,17,6,13,24,23,26,19,32,17,25,18,12,23,27,25,17,15,21,6,28,12,32,44,45,18,13,29,23,7
"Sbj41_Time2",2,41,12,27,15,47,18,23,18,24,33,47,20,45,13,24,17,13,12,21,25,25,29,22,47,11,10,19,44,22,32,17,26,20,18,26,37,11,14,29,22,33,34,18,23,16,30,4,23,10,17,22,41,32,17,26,37,14,17,29,19,29,17,17,13,24,44,13,9,11,38,18,25,18,12,18,16,25,25,28,22,31,28,16,17,21,11,15,34,37,23,43,11,40,18,23,44,33,14,28,20,27
"Sbj42_Time2",2,42,10,13,22,35,19,33,21,10,21,27,19,15,28,16,41,17,14,37,11,34,18,12,28,17,14,10,24,20,24,31,23,27,18,35,18,19,19,14,28,17,18,17,14,12,28,23,18,33,14,16,30,31,15,12,20,19,37,22,20,30,11,11,7,34,34,18,36,12,28,12,31,21,27,27,17,45,23,24,47,15,18,21,17,21,9,25,11,12,34,10,28,22,48,15,30,36,16,11,34,14
"Sbj43_Time2",2,43,28,11,26,15,39,18,35,19,13,31,13,25,8,12,22,46,40,60,38,36,72,15,14,38,29,12,30,14,45,22,12,13,26,14,47,58,37,52,15,35,20,33,8,17,56,32,38,56,15,29,16,37,15,16,21,51,9,10,16,38,10,18,71,9,17,18,37,12,14,46,14,18,12,25,49,16,58,18,14,11,32,14,12,46,37,19,46,45,11,10,45,42,29,33,46,34,10,17,52,20
"Sbj44_Time2",2,44,38,15,11,48,20,24,17,41,22,9,23,25,54,25,34,11,22,12,9,52,18,45,20,20,39,19,18,10,15,39,10,44,40,13,26,45,34,14,20,9,25,10,28,17,64,22,60,20,19,38,54,13,16,68,31,25,17,11,27,40,29,39,53,16,26,19,30,42,41,41,39,15,7,15,16,24,19,36,17,38,26,18,11,16,26,26,29,40,22,12,8,16,33,41,39,11,34,13,13,17
"Sbj45_Time2",2,45,15,18,17,16,12,33,17,54,48,18,16,35,17,17,22,18,37,22,17,12,23,13,28,14,29,16,21,25,13,61,19,56,34,32,14,10,22,9,39,16,24,20,11,17,23,41,22,29,12,44,11,9,20,33,6,11,25,26,14,17,42,9,10,7,25,29,25,31,49,15,11,29,20,34,28,50,16,15,32,15,18,18,39,11,23,54,9,22,14,17,13,39,17,19,35,14,10,15,22,24
"Sbj46_Time2",2,46,13,17,27,13,20,16,10,30,27,16,21,37,29,33,25,30,20,13,14,14,14,29,21,33,45,19,40,24,58,17,21,12,12,28,51,17,34,24,12,30,17,17,33,7,33,24,30,9,17,17,29,11,19,30,18,12,15,22,12,11,33,31,16,34,22,35,30,27,23,27,16,27,13,26,9,21,28,10,19,13,35,22,17,21,35,21,11,25,29,24,19,11,15,38,25,18,29,12,10,20
"Sbj47_Time2",2,47,16,44,14,23,8,16,39,12,8,34,26,11,11,64,14,27,51,11,20,35,18,55,10,41,33,56,17,12,6,26,21,15,30,26,66,33,14,21,25,23,26,17,26,17,11,8,41,9,22,42,50,67,13,55,18,9,5,21,23,12,35,48,62,17,30,17,26,56,31,23,12,54,23,17,28,42,26,45,11,36,57,77,12,28,21,20,77,24,49,11,25,16,31,16,36,21,35,51,33,39
"Sbj48_Time2",2,48,61,37,44,13,115,103,22,104,15,20,140,15,79,14,60,50,46,59,41,26,18,14,12,17,14,12,73,85,40,13,85,14,86,10,19,10,12,80,38,76,67,125,91,10,12,14,75,15,20,30,65,12,18,24,19,123,91,88,152,15,12,75,54,18,13,56,31,61,46,19,47,83,52,15,13,15,27,89,16,117,89,12,21,27,16,28,57,16,12,9,131,72,15,12,19,49,102,79,83,73
"Sbj49_Time2",2,49,16,19,14,18,14,28,36,36,41,14,12,14,34,53,18,68,41,35,17,33,41,26,22,19,32,18,49,14,9,25,5,47,21,38,22,38,77,40,39,18,41,16,18,18,55,13,34,54,26,25,13,11,17,41,12,42,26,42,27,11,30,18,13,13,51,16,25,23,48,17,32,19,48,42,12,6,10,13,9,13,42,12,50,22,29,24,10,20,30,59,59,56,11,17,13,14,14,48,21,34
"Sbj5_Time2",2,5,13,58,14,31,11,18,34,16,21,13,15,15,21,15,24,22,26,11,11,16,19,20,18,15,33,8,25,23,31,19,13,12,11,21,22,22,23,15,49,11,36,17,21,31,23,12,35,42,23,31,15,31,15,24,32,7,15,40,35,12,18,14,14,15,31,31,13,22,16,30,12,11,11,22,22,22,17,12,29,28,19,11,25,48,31,30,23,28,25,17,32,27,22,30,18,21,16,19,26,26
"Sbj50_Time2",2,50,33,28,27,34,47,40,39,12,25,10,11,23,31,26,17,26,14,28,19,36,17,14,32,28,17,19,20,17,13,25,24,14,32,11,16,26,11,24,12,17,16,13,37,12,21,21,17,21,34,20,28,17,22,11,25,35,14,20,14,39,46,18,26,42,13,12,19,9,14,12,42,13,10,26,40,21,33,18,33,19,15,22,23,11,16,13,18,16,16,16,24,35,41,11,36,14,18,26,39,50
"Sbj51_Time2",2,51,65,48,16,10,39,120,12,42,70,57,12,6,43,30,19,56,30,12,26,44,23,30,20,11,41,14,63,12,76,69,39,25,14,30,26,32,26,41,34,78,44,16,22,19,37,22,45,13,58,54,15,39,15,74,52,18,10,20,17,12,25,18,52,22,36,50,36,54,21,41,14,44,45,61,15,12,61,75,33,10,14,34,32,13,20,21,37,49,53,13,9,13,15,39,17,71,19,24,13,12
