"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"50",0,0,0,0,0.390508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116134,0,0,0,0,-0.105831,0,0,0,0,0,-0.031716,0,0.072063,0,0,0.237138,0,0,0,0,0,0,0,0,0,0,1,0,-0.145146,0,0,0,0,0,0,0.07406,0,-0.140834,0,0,0,0,-0.054256,0,0,0,0.045043,0,0,0,0,0,0,0,-0.027268,0,0,0,0,0,0,-0.059265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,-0.430887,0,0,0.458472,0,0,0,0,0,0,-0.078968,0,0,0,0,0.381588,0,0,0,0,0,0,0,0,0.321864,0,0.360657,0,0,0,0,0,0,0,0,0.385549,0,0,0,0,0,0,0,0,1,0,0,-0.648961,0,0,0,0,0,0,0,0.168609,0,0,0,0,0,0.163542,0,0,-0.073741,0,0,0,0,0,0,0,0,0,0,0.32244,0.426708,0,0,0,0,0,0,0,0,-0.559147,0,0,0,0,-0.473473,0,0,0
"52",0,0,0,0,-0.371684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.299751,0,0,0,0,0.538959,0,0,0,0,0,0.102182,0,-0.232171,0,0,-0.612072,0,0,0,0,0,0,0,0,0,0,-0.145146,0,1,0,0,0,0,0,0,-0.499713,0,0.453739,0,0,0,0,0.293129,0,0,0,-0.278785,0,0,0,0,0,0,0,0.183985,0,0,0,0,0,0,0.190939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",-9.2e-05,0,-0.000103,0.00049,0,0,0,0,0,0,0,0,0,-4.7e-05,0,0,0,0,-0.413831,0,1.6e-05,0,0,0.130347,0,0,0,0,0,0,0,0.060729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5e-05,-0.000218,0,0,0,0,0.000204,-0.047141,0,0,0,0.014505,0,-0.146937,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0.254176,0,0,-0.708786,0,0,0,0,0,0,-0.148356,0,0,0,0,-0.593865,0,0,0,0,0,0,0,0,-0.194026,0,-0.21423,0,0,0,0,0,0,0,0,-0.236448,0,0,0,0,0,0,0,0,-0.648961,0,0,1,0,0,0,0,0,0,0,-0.101641,0,0,0,0,0,-0.254521,0,0,0.044453,0,0,0,0,0,0,0,0,0,0,-0.190204,-0.410297,0,0,0,0,0,0,0,0,0.345786,0,0,0,0,0.742783,0,0,0
"55",0,0,0,0,0,0.374953,0,0,0,0,-0.578538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.276581,0,0,-0.459558,0.585523,0,0,0,0,0,0,0,-0.350844,0,0,-0.123161,0,0,0,0,0,0,-0.462405,0,0,0,0,0,0,1,0,0,-0.455272,0,0,0,0,0,0,0.664978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.414974,0,0,0,0,0.30562,0,0,0,0.561698,0,0
"56",0,0,0,0,0,0,0,0,-0.13684,0,0,-0.265048,0.059204,0,-0.051047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36519,0,0,0,0,0,0,0,0,0,-0.126423,0,0,0,0.231856,0,0,0,0,0,0,1,0,0,0,0.112337,0,0,0,-0.023274,0,0,0.385608,0,0,0,0,0,0,0,0.304744,0,0,0,0,0,0,0,0,0.052325,0,0,0,-0.526774,0,0.197718,0,0,0,0,0,-0.170766,0,0,-0.051626,0
"57",0,0.559163,0,0,0,0,0,0.305759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288713,0,0,-0.339159,0,0,0,-0.084959,0,-0.551774,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.130651,0,0,0,0,0,0,0,0,0,0,0,0,0.181751,0.194367,0,-0.20804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.353614
"58",0,0,0,0,0,-0.385143,0,0,0,0,0.650828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333403,0,0,0.516981,-0.783794,0,0,0,0,0,0,0,0.379005,0,0,0.427867,0,0,0,0,0,0,0.557404,0,0,0,0,0,0,-0.455272,0,0,1,0,0,0,0,0,0,-0.684642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555493,0,0,0,0,-0.385945,0,0,0,-0.677097,0,0
"59",0,0,0,0,0.189651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152947,0,0,0,0,-0.308634,0,0,0,0,0,-0.05471,0,0.124307,0,0,0.312309,0,0,0,0,0,0,0,0,0,0,0.07406,0,-0.499713,0,0,0,0,0,0,1,0,-0.242937,0,0,0,0,-0.265866,0,0,0,0.447391,0,0,0,0,0,0,0,-0.368181,0,0,0,0,0,0,-0.102231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,-0.552323,0,0,-0.1073,0.52702,0,-0.206038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238898,0,0,0,0,0,0,0,0,0,-0.609544,0,0,0,0.311468,0,0,0,0,0,0,0.112337,0,0,0,1,0,0,0,-0.207183,0,0,0.238187,0,0,0,0,0,0,0,0.19357,0,0,0,0,0,0,0,0,0.465785,0,0,0,-0.213255,0,0.344415,0,0,0,0,0,-0.108468,0,0,-0.459561,0
"61",0,0,0,0,-0.360643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.290846,0,0,0,0,0.536913,0,0,0,0,0,0.225201,0,-0.511684,0,0,-0.59389,0,0,0,0,0,0,0,0,0,0,-0.140834,0,0.453739,0,0,0,0,0,0,-0.242937,0,1,0,0,0,0,0.257023,0,0,0,-0.174986,0,0,0,0,0,0,0,0.089445,0,0,0,0,0,0,0.420813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,-0.321565,0,0,0.07037,0,0,0,0,0,0,-0.179799,0,0,0,0,0.056127,0,0,0,0,0,0,0,0,0.523852,0,0.370217,0,0,0,0,0,0,0,0,0.347857,0,0,0,0,0,0,0,0,0.168609,0,0,-0.101641,0,0,0,0,0,0,0,1,0,0,0,0,0,0.024055,0,0,-0.437351,0,0,0,0,0,0,0,0,0,0,0.240632,0.220118,0,0,0,0,0,0,0,0,-0.305127,0,0,0,0,-0.065972,0,0,0
"63",0,0.197462,0,0,0,0,0,0.242254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101956,0,0,-0.38522,0,0,0,-0.029205,0,-0.119884,0,0,0,0,0,0,0,0,0,0,0.130651,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.104851,0.138948,0,-0.045201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161232
"64",0,0,0,0,0,0,0,0,0.114432,0,0,0.022231,-0.393121,0,0.042688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049495,0,0,0,0,0,0,0,0,0,0.126287,0,0,0,-0.064531,0,0,0,0,0,0,-0.023274,0,0,0,-0.207183,0,0,0,1,0,0,-0.049348,0,0,0,0,0,0,0,-0.040104,0,0,0,0,0,0,0,0,-0.096503,0,0,0,0.044183,0,-0.071357,0,0,0,0,0,0.022473,0,0,0.095213,0
"65",0,0,0,0,0,0.563858,0,0,0,0,-0.870011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.415925,0,0,-0.691087,0.880515,0,0,0,0,0,0,0,-0.527602,0,0,-0.185211,0,0,0,0,0,0,-0.695368,0,0,0,0,0,0,0.664978,0,0,-0.684642,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.624042,0,0,0,0,0.459594,0,0,0,0.844687,0,0
"66",0,0,0,0,-0.138936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112047,0,0,0,0,0.458958,0,0,0,0,0,0.057882,0,-0.131515,0,0,-0.228793,0,0,0,0,0,0,0,0,0,0,-0.054256,0,0.293129,0,0,0,0,0,0,-0.265866,0,0.257023,0,0,0,0,1,0,0,0,-0.439117,0,0,0,0,0,0,0,0.097887,0,0,0,0,0,0,0.108159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,-0.328158,0,0,-0.368317,0.125529,0,-0.122416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59403,0,0,0,0,0,0,0,0,0,-0.237177,0,0,0,0.591665,0,0,0,0,0,0,0.385608,0,0,0,0.238187,0,0,0,-0.049348,0,0,1,0,0,0,0,0,0,0,0.648998,0,0,0,0,0,0,0,0,0.110944,0,0,0,-0.732018,0,0.334488,0,0,0,0,0,-0.363671,0,0,-0.109461,0
"68",0,0,0,0,0,0,-0.058953,0,0,0.289902,0,0,0,0,0,0,0.077386,0,0,0,0,0.428584,0,0,0,0,0,0,0,0,0.045919,0,0.050015,0,0,0,0,0,0,0,0,0.056829,0,0,0,0,0,0,0,0,0.163542,0,0,-0.254521,0,0,0,0,0,0,0,0.024055,0,0,0,0,0,1,0,0,-0.01052,0,0,0,0,0,0,0,0,0,0,0.044116,0.130126,0,0,0,0,0,0,0,0,-0.083718,0,0,0,0,-0.274461,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.343671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0.115343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093021,0,0,0,0,-0.267932,0,0,0,0,0,-0.039407,0,0.089538,0,0,0.189942,0,0,0,0,0,0,0,0,0,0,0.045043,0,-0.278785,0,0,0,0,0,0,0.447391,0,-0.174986,0,0,0,0,-0.439117,0,0,0,1,0,0,0,0,0,0,0,-0.164721,0,0,0,0,0,0,-0.073636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0.140636,0,0,-0.030776,0,0,0,0,0,0,0.078635,0,0,0,0,-0.024547,0,0,0,0,0,0,0,0,-0.229107,0,-0.161914,0,0,0,0,0,0,0,0,-0.152136,0,0,0,0,0,0,0,0,-0.073741,0,0,0.044453,0,0,0,0,0,0,0,-0.437351,0,0,0,0,0,-0.01052,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.10524,-0.096269,0,0,0,0,0,0,0,0,0.133447,0,0,0,0,0.028853,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,-0.232572,0,0,-0.291078,0.102015,0,-0.086758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644536,0,0,0,0,0,0,0,0,0,-0.220456,0,0,0,0.391039,0,0,0,0,0,0,0.304744,0,0,0,0.19357,0,0,0,-0.040104,0,0,0.648998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.090162,0,0,0,-0.578509,0,0.347868,0,0,0,0,0,-0.560358,0,0,-0.088957,0
"76",0,0.178461,0,0,0,0,0,0.418993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092145,0,0,-0.272184,0,0,0,0.219483,0,-0.265726,0,0,0,0,0,0,0,0,0,0,0.181751,0,0,0,0,0,0.104851,0,0,0,0,0,0,0,0,0,0,0,0,1,0.555005,0,-0.100189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46245
"77",0,0.216255,0,0,0,0,0,0.568252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111659,0,0,-0.360698,0,0,0,0.040756,0,-0.258047,0,0,0,0,0,0,0,0,0,0,0.194367,0,0,0,0,0,0.138948,0,0,0,0,0,0,0,0,0,0,0,0,0.555005,1,0,-0.097294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.431674
"78",0,0,0,0,-0.069826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056312,0,0,0,0,0.113633,0,0,0,0,0,0.020143,0,-0.045768,0,0,-0.114987,0,0,0,0,0,0,0,0,0,0,-0.027268,0,0.183985,0,0,0,0,0,0,-0.368181,0,0.089445,0,0,0,0,0.097887,0,0,0,-0.164721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",0,-0.1334,0,0,0,0,0,-0.144358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068878,0,0,0.117338,0,0,0,0.054108,0,0.377039,0,0,0,0,0,0,0,0,0,0,-0.20804,0,0,0,0,0,-0.045201,0,0,0,0,0,0,0,0,0,0,0,0,-0.100189,-0.097294,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210634
"80",-0.152693,0,0.22697,-0.070772,0,0,0,0,0,0,0,0,0,0.102815,0,0,0,0,8.4e-05,0,-0.465566,0,0,-0.032358,0,0,0,0,0,0,0,0.011974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.480785,0,0,0,0,0.339612,0.011703,0,0,0,-0.003601,0,-0.028972,0,0,0,0,0,0,0
"81",0.008199,0,0.472081,-0.44357,0,0,0,0,0,0,0,0,0,0.213849,0,0,0,0,0.000526,0,-0.223837,0,0,-0.20281,0,0,0,0,0,0,0,0.075049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480785,1,0,0,0,0,-0.018236,0.073348,0,0,0,-0.022568,0,-0.181585,0,0,0,0,0,0,0
"82",0,0,0,0,0,0,-0.748316,0,0,0.130858,0,0,0,0,0,0,-0.433044,0,0,0,0,0.102934,0,0,0,0,0,0,0,0,0.459351,0,0.590851,0,0,0,0,0,0,0,0,0.45371,0,0,0,0,0,0,0,0,0.32244,0,0,-0.190204,0,0,0,0,0,0,0,0.240632,0,0,0,0,0,0.044116,0,0,-0.10524,0,0,0,0,0,0,0,0,0,0,1,0.500335,0,0,0,0,0,0,0,0,-0.589183,0,0,0,0,-0.118736,0,0,0
"83",0,0,0,0,0,0,-0.668615,0,0,0.314477,0,0,0,0,0,0,-0.246636,0,0,0,0,0.303618,0,0,0,0,0,0,0,0,0.420191,0,0.531401,0,0,0,0,0,0,0,0,0.426544,0,0,0,0,0,0,0,0,0.426708,0,0,-0.410297,0,0,0,0,0,0,0,0.220118,0,0,0,0,0,0.130126,0,0,-0.096269,0,0,0,0,0,0,0,0,0,0,0.500335,1,0,0,0,0,0,0,0,0,-0.563859,0,0,0,0,-0.439635,0,0,0
"84",0,0,0,0,0,0,0,0,-0.257264,0,0,-0.049979,0.245478,0,-0.095969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111275,0,0,0,0,0,0,0,0,0,-0.283916,0,0,0,0.145077,0,0,0,0,0,0,0.052325,0,0,0,0.465785,0,0,0,-0.096503,0,0,0.110944,0,0,0,0,0,0,0,0.090162,0,0,0,0,0,0,0,0,1,0,0,0,-0.099331,0,0.160423,0,0,0,0,0,-0.050523,0,0,-0.214057,0
"85",0,0,0,0,-0.151763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122392,0,0,0,0,0.22594,0,0,0,0,0,0.094767,0,-0.215323,0,0,-0.249917,0,0,0,0,0,0,0,0,0,0,-0.059265,0,0.190939,0,0,0,0,0,0,-0.102231,0,0.420813,0,0,0,0,0.108159,0,0,0,-0.073636,0,0,0,0,0,0,0,0.03764,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",-0.44961,0,-0.008609,0.416961,0,0,0,0,0,0,0,0,0,-0.0039,0,0,0,0,-0.000494,0,-0.158112,0,0,0.190644,0,0,0,0,0,0,0,-0.070547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339612,-0.018236,0,0,0,0,1,-0.068948,0,0,0,0.021214,0,0.170692,0,0,0,0,0,0,0
"87",0.031,0,0.034626,-0.165358,0,0,0,0,0,0,0,0,0,0.015685,0,0,0,0,0.113914,0,-0.005448,0,0,-0.361658,0,0,0,0,0,0,0,0.011267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011703,0.073348,0,0,0,0,-0.068948,1,0,0,0,-0.307684,0,-0.02726,0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0,0,0.259771,0,0,0.503152,-0.11239,0,0.096905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.693258,0,0,0,0,0,0,0,0,0,0.239994,0,0,0,-0.440142,0,0,0,0,0,0,-0.526774,0,0,0,-0.213255,0,0,0,0.044183,0,0,-0.732018,0,0,0,0,0,0,0,-0.578509,0,0,0,0,0,0,0,0,-0.099331,0,0,0,1,0,-0.375338,0,0,0,0,0,0.324172,0,0,0.098004,0
"89",0,0,0,0,0,-0.413066,0,0,0,0,0.599798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309691,0,0,0.476445,-0.708724,0,0,0,0,0,0,0,0.347578,0,0,0.166217,0,0,0,0,0,0,0.51776,0,0,0,0,0,0,-0.414974,0,0,0.555493,0,0,0,0,0,0,-0.624042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.360281,0,0,0,-0.62894,0,0
"90",0,0,0,0,0,0,0,0,-0.242846,0,0,-0.188852,0.181514,0,-0.090591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52546,0,0,0,0,0,0,0,0,0,-0.531102,0,0,0,0.24577,0,0,0,0,0,0,0.197718,0,0,0,0.344415,0,0,0,-0.071357,0,0,0.334488,0,0,0,0,0,0,0,0.347868,0,0,0,0,0,0,0,0,0.160423,0,0,0,-0.375338,0,1,0,0,0,0,0,-0.194931,0,0,-0.15828,0
"91",-0.009538,0,-0.010654,0.050878,0,0,0,0,0,0,0,0,0,-0.004826,0,0,0,0,-0.03505,0,0.001676,0,0,0.111276,0,0,0,0,0,0,0,-0.003467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003601,-0.022568,0,0,0,0,0.021214,-0.307684,0,0,0,1,0,0.008388,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0.787346,0,0,-0.241135,0,0,0,0,0,0,0.409623,0,0,0,0,-0.195336,0,0,0,0,0,0,0,0,-0.582468,0,-0.656999,0,0,0,0,0,0,0,0,-0.692229,0,0,0,0,0,0,0,0,-0.559147,0,0,0.345786,0,0,0,0,0,0,0,-0.305127,0,0,0,0,0,-0.083718,0,0,0.133447,0,0,0,0,0,0,0,0,0,0,-0.589183,-0.563859,0,0,0,0,0,0,0,0,1,0,0,0,0,0.234316,0,0,0
"93",-0.076745,0,-0.085723,0.409372,0,0,0,0,0,0,0,0,0,-0.038832,0,0,0,0,0.355067,0,0.013488,0,0,0.075376,0,0,0,0,0,0,0,-0.413299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028972,-0.181585,0,0,0,0,0.170692,-0.02726,0,0,0,0.008388,0,1,0,0,0,0,0,0,0
"94",0,0,0,0,0,0.411421,0,0,0,0,-0.457462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.292959,0,0,-0.363382,0.508352,0,0,0,0,0,0,0,0.004735,0,0,-0.070828,0,0,0,0,0,0,-0.489787,0,0,0,0,0,0,0.30562,0,0,-0.385945,0,0,0,0,0,0,0.459594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.360281,0,0,0,0,1,0,0,0,0.59496,0,0
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"96",0,0,0,0,0,0,0,0,0.130324,0,0,0.163108,-0.057165,0,0.048616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.361171,0,0,0,0,0,0,0,0,0,0.123534,0,0,0,-0.219122,0,0,0,0,0,0,-0.170766,0,0,0,-0.108468,0,0,0,0.022473,0,0,-0.363671,0,0,0,0,0,0,0,-0.560358,0,0,0,0,0,0,0,0,-0.050523,0,0,0,0.324172,0,-0.194931,0,0,0,0,0,1,0,0,0.049848,0
"97",0,0,0,0,0,0,0.158671,0,0,-0.605128,0,0,0,0,0,0,-0.318181,0,0,0,0,-0.64039,0,0,0,0,0,0,0,0,-0.125937,0,-0.135451,0,0,0,0,0,0,0,0,-0.158038,0,0,0,0,0,0,0,0,-0.473473,0,0,0.742783,0,0,0,0,0,0,0,-0.065972,0,0,0,0,0,-0.274461,0,0,0.028853,0,0,0,0,0,0,0,0,0,0,-0.118736,-0.439635,0,0,0,0,0,0,0,0,0.234316,0,0,0,0,1,0,0,0
"98",0,0,0,0,0,0.687302,0,0,0,0,-0.894923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.492401,0,0,-0.710876,0.887426,0,0,0,0,0,0,0,-0.497241,0,0,-0.136638,0,0,0,0,0,0,-0.823226,0,0,0,0,0,0,0.561698,0,0,-0.677097,0,0,0,0,0,0,0.844687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.62894,0,0,0,0,0.59496,0,0,0,1,0,0
"99",0,0,0,0,0,0,0,0,0.253826,0,0,0.049311,-0.242198,0,0.094687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109788,0,0,0,0,0,0,0,0,0,0.280123,0,0,0,-0.143138,0,0,0,0,0,0,-0.051626,0,0,0,-0.459561,0,0,0,0.095213,0,0,-0.109461,0,0,0,0,0,0,0,-0.088957,0,0,0,0,0,0,0,0,-0.214057,0,0,0,0.098004,0,-0.15828,0,0,0,0,0,0.049848,0,0,1,0
"100",0,-0.306699,0,0,0,0,0,-0.623563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158358,0,0,0.418544,0,0,0,0.262607,0,0.558652,0,0,0,0,0,0,0,0,0,0,-0.353614,0,0,0,0,0,-0.161232,0,0,0,0,0,0,0,0,0,0,0,0,-0.46245,-0.431674,0,0.210634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
